name,type
aacA-aphD,abr
aadK,abr
aphA,abr
arcR_argF,other
atl_lytN,other
bbp_clfA_clfB_sdrC_sdrD_sdrE,vir
bbp_clfB_sdrC_sdrD_sdrE_sdrF_sdrI,vir
bbp_sdrD_sdrE,vir
bcgIA_hsdM_prmC,vir
bcgIA_hsdM,vir
bglF_glcB_ptsG,other
bin3,mge
blaI,abr
blaR1,abr
blaZ,abr
cadA,metal
cadC,metal
chp,vir
clfA_clfB,vir
clfA_sdrD,vir
clfB,vir
clpP_clpP1,vir
clpP1,vir
copB,metal
dinG_dnaQ_polC,other
dnaC,other
dut,other
entA_entE_speA_speH,vir
entC1_entC2_entC3,vir
ettA_uup_ybiT,other
fetA_ftsE,other
gloC_glpE,other
glpQ_ugpQ,sccmec
hin_tnpR,mge
hlgC_lukS,vir
hsdM,mge
hsdR_mecR1,sccmec
hsrA_ribZ,other
Int-Tn_intQ,mge
Int-Tn_intQ_xerC_xerD,mge
irrE,mge
leuD,vir
lolD_macB_thiQ_yknY,other
lss_lytN,other
lss_mepM_smc,other
mco,metal
mta_tipA,abr
ohrR,other
paaZ,sccmec
paiB,other
pbp,sccmec
pls_sasG,vir
pre,mge
racA,other
recF_smc,other
repD_repE_repN,mge
repE,mge
sak,vir
sasG,vir
sdrC_sdrD_sdrE,vir
skfC,other
speG,vir
sraP,vir
wecD,vir
xis,vir
xre,vir
ypeA,other
zipA,other
